time,rc_on,rc_w,rc_to,mode,batt_w,batt_a,soc,grid_w,health,pwr_sw,axle_st,axle_ip,axle_dir,td_cur,td_sh,td_sm,td_eh,td_em,tc_cur,tc_sh,dis_cur,cd_cur,cc_slot1_dis,cc_slot1_time,cc_reserve
2026-09-07T19:56:58,off,0,0,35,892,17.0,61,-6,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:57:13,off,0,0,35,897,17.1,61,-6,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:57:29,off,0,0,35,903,17.2,61,8,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:57:44,off,0,0,35,897,17.1,61,7,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:57:59,off,0,0,35,892,17.0,61,-15,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:58:14,off,0,0,35,903,17.2,61,4,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:58:29,off,0,0,35,903,17.2,61,5,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:58:45,off,0,0,35,903,17.2,61,0,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:59:15,off,0,0,35,903,17.2,61,2,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:59:30,off,0,0,35,903,17.2,61,10,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
